,SPY,GLD,BTC-USD,TLT,GSG
2015-02-09,0.316577518126906,0.3150144549996413,0.14918584549167774,0.15660195513027816,0.06262022625149681
2015-02-10,0.3182633034585933,0.31260020583900794,0.1493474506978822,0.15753457656220837,0.062254463442308255
2015-02-11,0.3166933033952378,0.31318994088105556,0.150764117678377,0.1569977955345883,0.06235484251074134
2015-02-12,0.3163579217464765,0.3149973166186957,0.1490280029311305,0.15711962260153745,0.062497136102159956
2015-02-13,0.3157334693834273,0.3152544370180643,0.15028129870218215,0.15627720830271466,0.06245358659361158
2015-02-17,0.31535338454879414,0.31437944913466026,0.1516321009638572,0.1563602557082362,0.06227480964445216
2015-02-18,0.3148453585624789,0.3139452513691882,0.15224207439977436,0.15703979705426413,0.06192751861429453
2015-02-19,0.34847970196747347,0.34707712318755773,0.16584571469615725,0.06940123638825593,0.06919622376055562
2015-02-20,0.347586259455186,0.3472234855151921,0.16768022175611125,0.0688121330346092,0.06869790023890147
2015-02-23,0.34888513818378036,0.3471634836572445,0.16674141753514948,0.06864763279379299,0.06856232783003256
2015-02-24,0.3157553495186537,0.3146676381146321,0.15152872450341334,0.1553907468330772,0.06265754103022353
2015-02-25,0.3472632578894476,0.3467786399860352,0.16868914287053596,0.06883568714878736,0.06843327210519382
2015-02-26,0.34790798015982105,0.3470954107106984,0.16700982636814404,0.06945593299865667,0.06853084976267995
2015-02-27,0.3479396569806326,0.347220159852448,0.16745000267099064,0.06839369177697478,0.06899648871895402
2015-03-02,0.315180367429112,0.3139356828731372,0.15323594696729623,0.0626660881593828,0.1549819145710717
2015-03-03,0.3144126563957978,0.3127064689536301,0.15359988579631503,0.06284610578389611,0.156434883070361
2015-03-04,0.4197735462532003,0.08363060706442225,0.20343858321201097,0.0841413444782434,0.20901591899212316
2015-03-05,0.4206058097277984,0.08389016874536397,0.20309198176308005,0.08410695505716011,0.2083050847065976
2015-03-06,0.08442720017085274,0.419780335283781,0.2023390790690634,0.08300992602093483,0.21044345945536796
2015-03-09,0.08411505127722138,0.4204160950619732,0.20204547763428615,0.08381326822496415,0.20961010780155517
2015-03-10,0.08380661736011273,0.4201571420723125,0.20291832844080437,0.08353829057237809,0.20957962155439233
2015-03-11,0.08364892491760073,0.4211947423359582,0.20156836697583402,0.08354511195510408,0.2100428538155029
2015-03-12,0.06986026102758011,0.3498310879284921,0.336281205138235,0.0695976200013343,0.17442982590435854
2015-03-13,0.07021611363993045,0.3491859923411039,0.3391652885019611,0.0700173329523098,0.1714152725646946
2015-03-16,0.07018168928734154,0.34989336735968674,0.3380581676375137,0.06937598894684063,0.1724907867686174
2015-03-17,0.06958467719071822,0.3486184583625552,0.3412739473911006,0.06933398008556667,0.17118893697005935
2015-03-18,0.0846235332035895,0.42039790067845423,0.20389589472338546,0.08384005590126851,0.20724261549330222
2015-03-19,0.075027134328703,0.37313303719576724,0.1803128268445898,0.18554978669201716,0.18597721493892286
2015-03-20,0.07523828045465168,0.37384894073469255,0.18029884275458916,0.18526932502946136,0.18534461102660518
2015-03-23,0.06313796967818051,0.3156074924823696,0.15272421766111166,0.31264727285932725,0.15588304731901098
2015-03-24,0.06324771908595053,0.3139516950905537,0.15086377610306528,0.3149823076194273,0.1569545021010031
2015-03-25,0.06270089885222405,0.31498105283229405,0.15310256453520354,0.31300313612682207,0.15621234765345626
2015-03-26,0.06328352526714473,0.31514750963059285,0.15470153901265926,0.31182807154679687,0.15503935454280623
2015-03-27,0.06307200834867299,0.3156958147535283,0.1540569939330742,0.3159332077119558,0.15124197525276878
2015-03-30,0.06301049224760942,0.3140581369017996,0.15331283511792407,0.313047784723915,0.15657075100875187
2015-03-31,0.06278091676619837,0.31361092764672044,0.15371871753315178,0.31427020321279653,0.15561923484113285
2015-04-01,0.06930188396385163,0.34568166193328537,0.06775085608506488,0.3466762712214057,0.17058932679639244
2015-04-02,0.06940755761513283,0.34577774575162723,0.06679347074726148,0.3457046082509033,0.17231661763507508
2015-04-06,0.06980608845722104,0.34324872421554975,0.06751588959647072,0.34774521360338345,0.17168408412737526
2015-04-07,0.06924924565175161,0.3448988598142181,0.06753163359070981,0.34723851516333526,0.17108174577998525
2015-04-08,0.09662638653724247,0.09657685104059285,0.0941416218351866,0.4812570382046139,0.2313981023823641
2015-04-09,0.06994916775965815,0.0699716825969365,0.3406752391908091,0.34596833793199466,0.17343557252060152
2015-04-10,0.0960416356124537,0.09573277840465175,0.09378736687344588,0.47844466870041635,0.23599355040903242
2015-04-13,0.09580962209429342,0.09597989871313757,0.0912184292817949,0.47877044380108114,0.23822160610969312
2015-04-14,0.1552378859945827,0.1553017299965844,0.14950475405929853,0.1542727466873063,0.3856828832622281
2015-04-15,0.4823255055048022,0.09636064829500597,0.09304445448362977,0.09637074010477217,0.23189865161178988
2015-04-16,0.4802759786547259,0.09616132692450899,0.09355472330368395,0.09615878105999007,0.23384919005709115
2015-04-17,0.15496704975209166,0.1557801631992294,0.15254167943410393,0.15360975207653133,0.3831013555380437
2015-04-20,0.15569887898755708,0.15506787947328368,0.15143574937624096,0.1547070118000848,0.3830904803628335
2015-04-21,0.47898451565820827,0.09592128141313842,0.09317284797415025,0.09586417168574637,0.23605718326875674
2015-04-22,0.4796295765968537,0.09568603752516905,0.09168287640315145,0.09512540606754667,0.23787610340727924
2015-04-23,0.4795000010055821,0.09568400923914645,0.09278383636393761,0.09580571030995469,0.23622644308137927
2015-04-24,0.34748818725235303,0.0692704563470309,0.34179074042361524,0.06945618860501002,0.17199442737199075
2015-04-27,0.2719673986279875,0.27165234620065504,0.26733988255091623,0.05439949396003219,0.134640878660409
2015-04-28,0.2395771516179648,0.23835665487401095,0.23499295853539062,0.0477478192921304,0.2393254156805032
2015-04-29,0.23985627351630526,0.2373838042865518,0.23507683036412777,0.048076366437996815,0.23960672539501823
2015-04-30,0.05886279419578353,0.2944773756886575,0.292823289684871,0.059171532005825256,0.29466500842486276
2015-05-01,0.059299657784004735,0.29570742560543406,0.291664629829451,0.05906491702109786,0.29426336976001227
2015-05-04,0.23906113568712192,0.23926800533273945,0.23456561598199546,0.04776783271571545,0.23933741028242786
2015-05-05,0.0591550168256642,0.2957297130297105,0.2898944048471548,0.05914598077947601,0.2960748845179946
2015-05-06,0.059119582394651954,0.2952330549697363,0.2921335922954095,0.05843007794669431,0.29508369239350796
2015-05-07,0.05917481804209811,0.2959462464582047,0.2906062297197416,0.058844064862508504,0.295428640917447
2015-05-08,0.059671342531689056,0.29779855549372286,0.2853576727637374,0.05935234976195207,0.2978200794488986
2015-05-11,0.05930076392564758,0.29619663246893974,0.290149681999043,0.05775972609059655,0.29659319551577307
2015-05-12,0.05913872702716052,0.2961479974711355,0.2895824719292599,0.058566450386209515,0.2965643531862346
2015-05-13,0.059039598707087894,0.2947000688125583,0.29114375740919557,0.058866768898982895,0.29624980617217544
2015-05-14,0.059269532015189384,0.293317584275051,0.2923054464994931,0.05858856720811067,0.29651887000215577
2015-05-15,0.059425349282825425,0.2933685631004102,0.29309931214850843,0.0574757671135139,0.2966310083547421
2015-05-18,0.2389721404702046,0.23676294165182346,0.23740161877729288,0.047105403232923865,0.23975789586775506
