,SPY,GLD,BTC-USD,TLT,GSG
2017-05-09,0.3272794015685444,0.2344167199383806,0.035832571647180796,0.2351516921904811,0.16731961465541323
2017-05-10,0.32785744607404627,0.2326294303902641,0.03579663158806251,0.23475758393138493,0.16895890801624222
2017-05-11,0.3309983038045769,0.23490819478429545,0.035791528424264765,0.23520785284736978,0.1630941201394931
2017-05-12,0.33091380910600365,0.23350356920043647,0.0355942232854862,0.2375447663577581,0.16244363205031562
2017-05-15,0.3336382000696844,0.23408215608162378,0.03449358237113927,0.2360282886715962,0.1617577728059563
2017-05-16,0.3309659653092254,0.23594424676688056,0.034614189852112745,0.2375997130407878,0.16087588503099354
2017-05-17,0.3307027888392033,0.23536817870959895,0.034590642166229486,0.23856744434647345,0.1607709459384949
2017-05-18,0.3135569912565519,0.23450315318994738,0.036964026752621136,0.24358009369068187,0.17139573511019768
2017-05-19,0.31314202686447185,0.23224314914668379,0.037054946409270845,0.244563435436179,0.17299644214339444
2017-05-22,0.31152619046249347,0.23651966847426045,0.0372602185815661,0.24679372039485006,0.16790020208682996
2017-05-23,0.3084025563305808,0.23697146315915274,0.036070569264088935,0.25175176598035304,0.16680364526582442
2017-05-24,0.3088339841529111,0.23668189704427378,0.03566697107960332,0.25166457047618745,0.16715257724702434
2017-05-25,0.30971882495132314,0.23628728723032888,0.0354777336600845,0.25102937549414106,0.16748677866412237
2017-05-26,0.3198667399437618,0.23017626675837846,0.033921252353608974,0.2624716830666756,0.15356405787757502
2017-05-30,0.32129979574987777,0.23145983191682096,0.03311129502184221,0.2604566303817821,0.15367244692967685
2017-05-31,0.321780579246633,0.23132103249273853,0.03312713862063853,0.26002753796382916,0.15374371167616077
2017-06-01,0.3217973947248492,0.23223174554953058,0.032789788836896566,0.2608389302433556,0.15234214064536816
2017-06-02,0.31653496728421776,0.2360657049292368,0.03291913298214282,0.2620029029187538,0.15247729188564882
2017-06-05,0.3142722595334754,0.23488364762781974,0.03340404003896331,0.25548086710496626,0.16195918569477522
2017-06-06,0.3130144440506037,0.23592629726750147,0.03278146609913687,0.2564898021760313,0.16178799040672662
2017-06-07,0.31394941583124514,0.23210567155316905,0.03343112175479916,0.2569139775170812,0.16359981334370535
2017-06-08,0.3155566850929318,0.23154804838656126,0.03410154242796689,0.259792083783452,0.15900164030908795
2017-06-09,0.31733216775568346,0.2304448256025838,0.03403060971016502,0.2592646138814837,0.15892778305008398
2017-06-12,0.3161293796280053,0.23422707917339577,0.03308177811027806,0.2599035804112015,0.1566581826771192
2017-06-13,0.31582381374118657,0.23394717605681897,0.03279946072236838,0.26157772009295377,0.15585182938667227
2017-06-14,0.31371850109581817,0.23388163851061006,0.034001537538009566,0.2633591410592239,0.15503918179633838
2017-06-15,0.3204715854393292,0.23799671905546962,0.03383645698135236,0.25553433826835886,0.15216090025548987
2017-06-16,0.3350365489874483,0.2334285950397402,0.032988356672389654,0.25064983857012324,0.14789666073029867
2017-06-19,0.3349463582934283,0.23337892330213186,0.033909541341736925,0.2508296846593649,0.146935492403338
2017-06-20,0.33069679744616864,0.23310612243040077,0.034376127205055236,0.2537215033238014,0.14809944959457397
2017-06-21,0.3263338047676376,0.23542848415458695,0.03710867442071767,0.25262339782194715,0.1485056388351107
2017-06-22,0.32627528237986786,0.23642093997854569,0.03873309455320679,0.2531004600864506,0.145470223001929
2017-06-23,0.32868420309644203,0.23413243879035117,0.038347384558935736,0.2541605413670112,0.1446754321872598
2017-06-26,0.3279412103258078,0.23298768469420006,0.03838382487119312,0.2550886371492312,0.14559864295956787
2017-06-27,0.328178863929858,0.23101636652632154,0.0356264629796888,0.2598679655308069,0.14531034103332482
2017-06-28,0.32548979482357066,0.23516414469708266,0.03645844039132764,0.25572605775723933,0.14716156233077962
2017-06-29,0.31782738060130805,0.23711990271030203,0.037041401472984486,0.2608674399002641,0.1471438753151413
2017-06-30,0.3113890308231359,0.23937582016084985,0.03748727576748815,0.26120454589733716,0.15054332735118892
2017-07-03,0.31465251592097027,0.2406591774369753,0.037551107417250325,0.2627302961705945,0.14440690305420958
2017-07-05,0.31895081700179856,0.2313689707328221,0.0382099887923488,0.26525036533829155,0.146219858134739
2017-07-06,0.31963054392031737,0.2314762793977205,0.0383631199598562,0.26733207703083894,0.1431979796912671
2017-07-07,0.3133055270965438,0.2347412673252269,0.03888350171994961,0.2668983680619183,0.14617133579636124
2017-07-10,0.3085502043094521,0.24006492423839465,0.03826059295666436,0.2688455297639066,0.1442787487315823
2017-07-11,0.3093656692570747,0.2412977633838224,0.03710035425480513,0.2691286803678513,0.14310753273644647
2017-07-12,0.31300961237293984,0.24125774383530912,0.0370154965006885,0.26798046888233684,0.14073667840872572
2017-07-13,0.3155578722800303,0.24068074894175917,0.03702992128592911,0.265801172765284,0.14093028472699745
2017-07-14,0.31328826342890936,0.2393705317390446,0.036437672953235814,0.2716318628573032,0.13927166902150692
2017-07-17,0.31172387360783643,0.23797765972184456,0.03563375807042252,0.27307210682669186,0.1415926017732047
2017-07-18,0.31600167424311987,0.2356675480898627,0.035414319438033866,0.27218613890729154,0.14073031932169197
2017-07-19,0.3193096967997165,0.23444648493481102,0.03546335891937724,0.26796061116311065,0.14281984818298454
2017-07-20,0.3256752114857662,0.23341186400463618,0.034893175108992376,0.2665967857436525,0.13942296365695267
2017-07-21,0.32410735429154125,0.23445610732299743,0.029162839959032554,0.2742622930281909,0.13801140539823797
2017-07-24,0.32544196565419764,0.23287122440437127,0.028850463311820774,0.276382292338535,0.1364540542910753
2017-07-25,0.32570329005383314,0.23374630652226927,0.028869625569213023,0.2751095909200451,0.13657118693463946
2017-07-26,0.3315408168962104,0.2375137870388122,0.028758728206314994,0.2655975349269968,0.13658913293166572
2017-07-27,0.33013981114757074,0.2370020384532135,0.0289323863789902,0.2696021485747343,0.1343236154454912
2017-07-28,0.3298212329953627,0.23699099217980654,0.028760842909220326,0.26921454170177145,0.13521239021383905
2017-07-31,0.32811430830486843,0.24382829153745705,0.028487078182485123,0.265492456690937,0.13407786528425236
2017-08-01,0.32252050566632817,0.24631017506252129,0.02803975990706933,0.26312933200820765,0.14000022735587356
2017-08-02,0.32482478201420906,0.24719299120114355,0.027758879560197167,0.261032171730884,0.13919117549356616
2017-08-03,0.323886263344041,0.24646603303501594,0.02844934504387626,0.2628700451959277,0.13832831338113902
2017-08-04,0.3248218065634872,0.2502292685329574,0.02852746696301972,0.2576785803261801,0.13874287761435555
2017-08-07,0.32680840027279195,0.24745988339126326,0.02865813333337227,0.25374797887964307,0.14332560412292938
2017-08-08,0.32762704314099966,0.24805801027196467,0.026928862731338994,0.25380036502927233,0.14358571882642437
2017-08-09,0.3263626143319276,0.24752329333540438,0.027384785757394486,0.2552015731543496,0.14352773342092412
2017-08-10,0.3312022696170461,0.24127855719773728,0.027418201686652124,0.25558149175566597,0.14451947974289847
2017-08-11,0.31534961033836534,0.24812069688689253,0.028416454402721416,0.26130886788985835,0.14680437048216236
2017-08-14,0.33660379832390275,0.24660607544840973,0.026185108185744932,0.2546922979395365,0.13591272010240613
